"Name","Total Population"
"Description","Total population."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Table B01003 (2005-2018); retrieved from <a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a><a href=""http://factfinder2.census.gov/"" target=""_blank""></a>.&nbsp;<br />
For UHF Data: NYC DOHMH population estimates, modified from US Census Bureau interpolated intercensal population estimates, 2010-2018. Updated August 2019."
"Notes",""

Location,TimeFrame,DataFormat,Data,Fips
Upper East Side,2011,Number,209534,108
Upper East Side,2012,Number,220861,108
Upper East Side,2013,Number,217537,108
Upper East Side,2014,Number,221898,108
Upper East Side,2015,Number,214571,108
Upper East Side,2016,Number,219004,108
Manhattanville,2005,Number,114405,109
Manhattanville,2006,Number,122736,109
Manhattanville,2007,Number,130456,109
Manhattanville,2008,Number,123363,109
Manhattanville,2009,Number,132851,109
Manhattanville,2010,Number,138048,109
Manhattanville,2011,Number,138515,109
Manhattanville,2012,Number,128093,109
Manhattanville,2013,Number,130017,109
Manhattanville,2014,Number,130739,109
Manhattanville,2015,Number,132630,109
Manhattanville,2016,Number,125195,109
Central Harlem,2005,Number,118291,110
Central Harlem,2006,Number,118143,110
Central Harlem,2007,Number,124883,110
Central Harlem,2008,Number,125875,110
Central Harlem,2009,Number,122336,110
Central Harlem,2010,Number,126558,110
Central Harlem,2011,Number,123524,110
Central Harlem,2012,Number,138256,110
Central Harlem,2013,Number,148434,110
Central Harlem,2014,Number,132027,110
Central Harlem,2015,Number,140209,110
Central Harlem,2016,Number,143487,110
East Harlem,2005,Number,109772,111
East Harlem,2006,Number,134287,111
East Harlem,2007,Number,121457,111
East Harlem,2008,Number,126609,111
East Harlem,2009,Number,113328,111
East Harlem,2010,Number,114525,111
East Harlem,2011,Number,123386,111
East Harlem,2012,Number,122538,111
East Harlem,2013,Number,114311,111
East Harlem,2014,Number,129713,111
East Harlem,2015,Number,122434,111
East Harlem,2016,Number,134279,111
Washington Heights,2005,Number,215215,112
Washington Heights,2006,Number,208867,112
Washington Heights,2007,Number,221756,112
Washington Heights,2008,Number,203239,112
Washington Heights,2009,Number,208123,112
Washington Heights,2010,Number,205414,112
Washington Heights,2011,Number,210245,112
Washington Heights,2012,Number,213564,112
Washington Heights,2013,Number,218366,112
Washington Heights,2014,Number,224365,112
Washington Heights,2015,Number,227328,112
Washington Heights,2016,Number,238759,112
Mott Haven,2005,Number,86004.36653,201
Mott Haven,2006,Number,87777.74431,201
Mott Haven,2007,Number,95904.34664,201
Mott Haven,2008,Number,96940.62052,201
Mott Haven,2009,Number,96740.11298,201
Mott Haven,2010,Number,99801.83125,201
Mott Haven,2011,Number,96779.57796,201
Mott Haven,2012,Number,100795.4575,201
Mott Haven,2013,Number,103719.68489,201
Mott Haven,2014,Number,106394.39179,201
Mott Haven,2015,Number,105159.145,201
Mott Haven,2016,Number,105915.264,201
Hunts Point,2005,Number,49109.63347,202
Hunts Point,2006,Number,50122.25569,202
Hunts Point,2007,Number,54762.65336,202
Hunts Point,2008,Number,55354.37948,202
Hunts Point,2009,Number,55239.88702,202
Hunts Point,2010,Number,56988.16875,202
Hunts Point,2011,Number,55262.42205,202
Hunts Point,2012,Number,57555.5425,202
Hunts Point,2013,Number,59225.31511,202
Hunts Point,2014,Number,60752.60821,202
Hunts Point,2015,Number,59925.855,202
Hunts Point,2016,Number,60356.736,202
Morrisania,2005,Number,68816.55766,203
Morrisania,2006,Number,76787.37594,203
Morrisania,2007,Number,75598.01557,203
Morrisania,2008,Number,74816.68751,203
Morrisania,2009,Number,73348.45613,203
Morrisania,2010,Number,78598.08049,203
Morrisania,2011,Number,84369.7318,203
Morrisania,2012,Number,81620.16154,203
Morrisania,2013,Number,82558.53801,203
Morrisania,2014,Number,84271.39308,203
Morrisania,2015,Number,86174.514,203
Morrisania,2016,Number,85447.86,203
Concourse/Highbridge,2005,Number,132813,204
Concourse/Highbridge,2006,Number,132838,204
Concourse/Highbridge,2007,Number,139445,204
Concourse/Highbridge,2008,Number,138648,204
Concourse/Highbridge,2009,Number,136768,204
Concourse/Highbridge,2010,Number,146624,204
Concourse/Highbridge,2011,Number,141627,204
Concourse/Highbridge,2012,Number,137175,204
Concourse/Highbridge,2013,Number,138206,204
Concourse/Highbridge,2014,Number,141467,204
Concourse/Highbridge,2015,Number,154296,204
Concourse/Highbridge,2016,Number,151835,204
University Heights,2005,Number,131447,205
University Heights,2006,Number,133858,205
University Heights,2007,Number,129263,205
University Heights,2008,Number,125990,205
University Heights,2009,Number,152903,205
University Heights,2010,Number,135266,205
University Heights,2011,Number,133352,205
University Heights,2012,Number,131879,205
University Heights,2013,Number,136077,205
University Heights,2014,Number,132850,205
University Heights,2015,Number,143996,205
University Heights,2016,Number,135115,205
East Tremont,2005,Number,71841.44234,206
East Tremont,2006,Number,80162.62406,206
East Tremont,2007,Number,78920.98443,206
East Tremont,2008,Number,78105.3125,206
East Tremont,2009,Number,76572.54388,206
East Tremont,2010,Number,82052.91951,206
East Tremont,2011,Number,88078.2682,206
East Tremont,2012,Number,85207.83846,206
East Tremont,2013,Number,86187.46199,206
East Tremont,2014,Number,87975.60692,206
East Tremont,2015,Number,90051.486,206
East Tremont,2016,Number,89292.14,206
Bedford Park,2005,Number,131535,207
Bedford Park,2006,Number,124968,207
Bedford Park,2007,Number,121634,207
Bedford Park,2008,Number,122723,207
Bedford Park,2009,Number,130290,207
Bedford Park,2010,Number,124826,207
Bedford Park,2011,Number,117800,207
Bedford Park,2012,Number,128117,207
Bedford Park,2013,Number,127336,207
Bedford Park,2014,Number,135893,207
Bedford Park,2015,Number,129884,207
Bedford Park,2016,Number,138899,207
Riverdale,2005,Number,100157,208
Riverdale,2006,Number,111199,208
Riverdale,2007,Number,113170,208
Riverdale,2008,Number,123077,208
Riverdale,2009,Number,105102,208
Riverdale,2010,Number,109153,208
Riverdale,2011,Number,103785,208
Riverdale,2012,Number,104603,208
Riverdale,2013,Number,114884,208
Riverdale,2014,Number,106737,208
Riverdale,2015,Number,112505,208
Riverdale,2016,Number,108865,208
Unionport/Soundview,2005,Number,178944,209
Unionport/Soundview,2006,Number,180396,209
Unionport/Soundview,2007,Number,166492,209
Unionport/Soundview,2008,Number,183514,209
Unionport/Soundview,2009,Number,182737,209
Unionport/Soundview,2010,Number,182977,209
Unionport/Soundview,2011,Number,182740,209
Unionport/Soundview,2012,Number,179541,209
Unionport/Soundview,2013,Number,191175,209
Unionport/Soundview,2014,Number,190126,209
Unionport/Soundview,2015,Number,178301,209
Unionport/Soundview,2016,Number,193240,209
Throgs Neck,2005,Number,98174,210
Throgs Neck,2006,Number,114081,210
Throgs Neck,2007,Number,123302,210
Throgs Neck,2008,Number,116692,210
Throgs Neck,2009,Number,114885,210
Throgs Neck,2010,Number,109482,210
Throgs Neck,2011,Number,122886,210
Throgs Neck,2012,Number,119950,210
Throgs Neck,2013,Number,122671,210
Throgs Neck,2014,Number,121209,210
Throgs Neck,2015,Number,116042,210
Throgs Neck,2016,Number,111431,210
Pelham Parkway,2005,Number,119613,211
Pelham Parkway,2006,Number,121465,211
Pelham Parkway,2007,Number,126978,211
Pelham Parkway,2008,Number,130517,211
Pelham Parkway,2009,Number,126715,211
Pelham Parkway,2010,Number,123655,211
Pelham Parkway,2011,Number,121836,211
Pelham Parkway,2012,Number,136275,211
Pelham Parkway,2013,Number,121307,211
Pelham Parkway,2014,Number,135839,211
Pelham Parkway,2015,Number,133573,211
Pelham Parkway,2016,Number,124632,211
Williamsbridge,2005,Number,141185,212
Williamsbridge,2006,Number,147818,212
Williamsbridge,2007,Number,148189,212
Williamsbridge,2008,Number,145525,212
Williamsbridge,2009,Number,145986,212
Williamsbridge,2010,Number,137233,212
Williamsbridge,2011,Number,143486,212
Williamsbridge,2012,Number,145754,212
Williamsbridge,2013,Number,135386,212
Williamsbridge,2014,Number,134644,212
Williamsbridge,2015,Number,145536,212
Williamsbridge,2016,Number,150691,212
Williamsburg/Greenpoint,2005,Number,132287,301
Williamsburg/Greenpoint,2006,Number,141513,301
Williamsburg/Greenpoint,2007,Number,146456,301
Williamsburg/Greenpoint,2008,Number,149665,301
Williamsburg/Greenpoint,2009,Number,139263,301
Williamsburg/Greenpoint,2010,Number,146253,301
Williamsburg/Greenpoint,2011,Number,144584,301
Williamsburg/Greenpoint,2012,Number,147300,301
Williamsburg/Greenpoint,2013,Number,156086,301
Williamsburg/Greenpoint,2014,Number,154713,301
Williamsburg/Greenpoint,2015,Number,167820,301
Williamsburg/Greenpoint,2016,Number,166361,301
Fort Greene/Brooklyn Hts,2005,Number,109811,302
Fort Greene/Brooklyn Hts,2006,Number,111796,302
Fort Greene/Brooklyn Hts,2007,Number,116753,302
Fort Greene/Brooklyn Hts,2008,Number,116528,302
Fort Greene/Brooklyn Hts,2009,Number,121297,302
Fort Greene/Brooklyn Hts,2010,Number,125468,302
Fort Greene/Brooklyn Hts,2011,Number,118910,302
Fort Greene/Brooklyn Hts,2012,Number,130102,302
Fort Greene/Brooklyn Hts,2013,Number,130954,302
Fort Greene/Brooklyn Hts,2014,Number,139070,302
Fort Greene/Brooklyn Hts,2015,Number,134656,302
Fort Greene/Brooklyn Hts,2016,Number,143328,302
Bedford Stuyvesant,2005,Number,135559,303
Bedford Stuyvesant,2006,Number,132087,303
Bedford Stuyvesant,2007,Number,125699,303
Bedford Stuyvesant,2008,Number,141064,303
Bedford Stuyvesant,2009,Number,132514,303
Bedford Stuyvesant,2010,Number,133302,303
Bedford Stuyvesant,2011,Number,132524,303
Bedford Stuyvesant,2012,Number,136462,303
Bedford Stuyvesant,2013,Number,143629,303
Bedford Stuyvesant,2014,Number,133235,303
Bedford Stuyvesant,2015,Number,150857,303
Bedford Stuyvesant,2016,Number,148237,303
Bushwick,2005,Number,115583,304
Bushwick,2006,Number,123871,304
Bushwick,2007,Number,129980,304
Bushwick,2008,Number,127496,304
Bushwick,2009,Number,134869,304
Bushwick,2010,Number,140437,304
Bushwick,2011,Number,138763,304
Bushwick,2012,Number,143782,304
Bushwick,2013,Number,145795,304
Bushwick,2014,Number,137368,304
Bushwick,2015,Number,122010,304
Bushwick,2016,Number,139306,304
East New York,2005,Number,143543,305
East New York,2006,Number,161064,305
East New York,2007,Number,158711,305
East New York,2008,Number,156855,305
East New York,2009,Number,163813,305
East New York,2010,Number,146614,305
East New York,2011,Number,146530,305
East New York,2012,Number,157832,305
East New York,2013,Number,158183,305
East New York,2014,Number,155863,305
East New York,2015,Number,158756,305
East New York,2016,Number,160769,305
Park Slope,2005,Number,112313,306
Park Slope,2006,Number,110032,306
Park Slope,2007,Number,108989,306
Park Slope,2008,Number,118144,306
Park Slope,2009,Number,118886,306
Park Slope,2010,Number,119558,306
Park Slope,2011,Number,112066,306
Park Slope,2012,Number,109204,306
Park Slope,2013,Number,116339,306
Park Slope,2014,Number,125062,306
Park Slope,2015,Number,117037,306
Park Slope,2016,Number,114007,306
Sunset Park,2005,Number,139547,307
Sunset Park,2006,Number,153066,307
Sunset Park,2007,Number,146760,307
Sunset Park,2008,Number,147678,307
Sunset Park,2009,Number,158333,307
Sunset Park,2010,Number,141190,307
Sunset Park,2011,Number,152038,307
Sunset Park,2012,Number,151902,307
Sunset Park,2013,Number,154422,307
Sunset Park,2014,Number,152685,307
Sunset Park,2015,Number,149773,307
Sunset Park,2016,Number,149399,307
Crown Heights North,2005,Number,128655,308
Crown Heights North,2006,Number,127013,308
Crown Heights North,2007,Number,129870,308
Crown Heights North,2008,Number,122392,308
Crown Heights North,2009,Number,125931,308
Crown Heights North,2010,Number,119323,308
Crown Heights North,2011,Number,126360,308
Crown Heights North,2012,Number,120243,308
Crown Heights North,2013,Number,127050,308
Crown Heights North,2014,Number,126747,308
Crown Heights North,2015,Number,131303,308
Crown Heights North,2016,Number,134788,308
Crown Heights South,2005,Number,108000,309
Crown Heights South,2006,Number,110333,309
Crown Heights South,2007,Number,112052,309
Crown Heights South,2008,Number,111833,309
Crown Heights South,2009,Number,109170,309
Crown Heights South,2010,Number,107419,309
Crown Heights South,2011,Number,113947,309
Crown Heights South,2012,Number,113485,309
Crown Heights South,2013,Number,103822,309
Crown Heights South,2014,Number,109337,309
Crown Heights South,2015,Number,115092,309
Crown Heights South,2016,Number,110382,309
Bay Ridge,2005,Number,124339,310
Bay Ridge,2006,Number,123447,310
Bay Ridge,2007,Number,126730,310
Bay Ridge,2008,Number,121390,310
Bay Ridge,2009,Number,128811,310
Bay Ridge,2010,Number,137599,310
Bay Ridge,2011,Number,132931,310
Bay Ridge,2012,Number,127481,310
Bay Ridge,2013,Number,127683,310
Bay Ridge,2014,Number,128545,310
Bay Ridge,2015,Number,122418,310
Bay Ridge,2016,Number,118804,310
Bensonhurst,2005,Number,181857,311
Bensonhurst,2006,Number,174593,311
Bensonhurst,2007,Number,184258,311
Bensonhurst,2008,Number,183083,311
Bensonhurst,2009,Number,163384,311
Bensonhurst,2010,Number,164506,311
Bensonhurst,2011,Number,181227,311
Bensonhurst,2012,Number,189420,311
Bensonhurst,2013,Number,184907,311
Bensonhurst,2014,Number,187637,311
Bensonhurst,2015,Number,187861,311
Bensonhurst,2016,Number,189426,311
Borough Park,2005,Number,154525,312
Borough Park,2006,Number,155509,312
Borough Park,2007,Number,176198,312
Borough Park,2008,Number,170292,312
Borough Park,2009,Number,163645,312
Borough Park,2010,Number,168915,312
Borough Park,2011,Number,162087,312
Borough Park,2012,Number,162352,312
Borough Park,2013,Number,161036,312
Borough Park,2014,Number,170011,312
Borough Park,2015,Number,161856,312
Borough Park,2016,Number,151250,312
Coney Island,2005,Number,109576,313
Coney Island,2006,Number,103687,313
Coney Island,2007,Number,108484,313
Coney Island,2008,Number,104974,313
Coney Island,2009,Number,111063,313
Coney Island,2010,Number,103112,313
Coney Island,2011,Number,102351,313
Coney Island,2012,Number,100695,313
Coney Island,2013,Number,106249,313
Coney Island,2014,Number,110727,313
Coney Island,2015,Number,122781,313
Coney Island,2016,Number,116847,313
Flatbush/Midwood,2005,Number,156685,314
Flatbush/Midwood,2006,Number,163099,314
Flatbush/Midwood,2007,Number,160783,314
Flatbush/Midwood,2008,Number,172592,314
Flatbush/Midwood,2009,Number,163298,314
Flatbush/Midwood,2010,Number,162715,314
Flatbush/Midwood,2011,Number,162760,314
Flatbush/Midwood,2012,Number,148198,314
Flatbush/Midwood,2013,Number,157167,314
Flatbush/Midwood,2014,Number,180723,314
Flatbush/Midwood,2015,Number,163459,314
Flatbush/Midwood,2016,Number,163620,314
Sheepshead Bay,2005,Number,151192,315
Sheepshead Bay,2006,Number,148784,315
Sheepshead Bay,2007,Number,137489,315
Sheepshead Bay,2008,Number,145146,315
Sheepshead Bay,2009,Number,149806,315
Sheepshead Bay,2010,Number,133282,315
Sheepshead Bay,2011,Number,143196,315
Sheepshead Bay,2012,Number,153182,315
Sheepshead Bay,2013,Number,156346,315
Sheepshead Bay,2014,Number,137815,315
Sheepshead Bay,2015,Number,147318,315
Sheepshead Bay,2016,Number,159017,315
Brownsville,2005,Number,111136,316
Brownsville,2006,Number,116936,316
Brownsville,2007,Number,120802,316
Brownsville,2008,Number,113502,316
Brownsville,2009,Number,118392,316
Brownsville,2010,Number,115433,316
Brownsville,2011,Number,126002,316
Brownsville,2012,Number,128864,316
Brownsville,2013,Number,128100,316
Brownsville,2014,Number,123772,316
Brownsville,2015,Number,127468,316
Brownsville,2016,Number,109658,316
East Flatbush,2005,Number,143392,317
East Flatbush,2006,Number,147390,317
East Flatbush,2007,Number,135649,317
East Flatbush,2008,Number,147017,317
East Flatbush,2009,Number,151181,317
East Flatbush,2010,Number,140285,317
East Flatbush,2011,Number,131274,317
East Flatbush,2012,Number,140973,317
East Flatbush,2013,Number,132564,317
East Flatbush,2014,Number,137526,317
East Flatbush,2015,Number,143028,317
East Flatbush,2016,Number,145860,317
Canarsie,2005,Number,188016,318
Canarsie,2006,Number,204600,318
Canarsie,2007,Number,202387,318
Canarsie,2008,Number,206947,318
Canarsie,2009,Number,213442,318
Canarsie,2010,Number,202929,318
Canarsie,2011,Number,205095,318
Canarsie,2012,Number,204158,318
Canarsie,2013,Number,201817,318
Canarsie,2014,Number,210957,318
Canarsie,2015,Number,213242,318
Canarsie,2016,Number,208091,318
Astoria,2005,Number,196854,401
Astoria,2006,Number,190247,401
Astoria,2007,Number,175303,401
Astoria,2008,Number,178480,401
Astoria,2009,Number,176394,401
Astoria,2010,Number,166666,401
Astoria,2011,Number,170174,401
Astoria,2012,Number,165035,401
Astoria,2013,Number,178585,401
Astoria,2014,Number,182860,401
Astoria,2015,Number,175460,401
Astoria,2016,Number,171988,401
Sunnyside/Woodside,2005,Number,138863,402
Sunnyside/Woodside,2006,Number,128673,402
Sunnyside/Woodside,2007,Number,139138,402
Sunnyside/Woodside,2008,Number,132863,402
Sunnyside/Woodside,2009,Number,131011,402
Sunnyside/Woodside,2010,Number,125229,402
Sunnyside/Woodside,2011,Number,130059,402
Sunnyside/Woodside,2012,Number,140399,402
Sunnyside/Woodside,2013,Number,133375,402
Sunnyside/Woodside,2014,Number,150100,402
Sunnyside/Woodside,2015,Number,144899,402
Sunnyside/Woodside,2016,Number,135767,402
Jackson Heights,2005,Number,181014,403
Jackson Heights,2006,Number,176387,403
Jackson Heights,2007,Number,182141,403
Jackson Heights,2008,Number,190173,403
Jackson Heights,2009,Number,187902,403
Jackson Heights,2010,Number,170161,403
Jackson Heights,2011,Number,185667,403
Jackson Heights,2012,Number,179741,403
Jackson Heights,2013,Number,192889,403
Jackson Heights,2014,Number,182354,403
Jackson Heights,2015,Number,186415,403
Jackson Heights,2016,Number,166144,403
Elmhurst/Corona,2005,Number,139422,404
Elmhurst/Corona,2006,Number,138593,404
Elmhurst/Corona,2007,Number,140182,404
Elmhurst/Corona,2008,Number,143406,404
Elmhurst/Corona,2009,Number,147604,404
Elmhurst/Corona,2010,Number,136517,404
Elmhurst/Corona,2011,Number,137879,404
Elmhurst/Corona,2012,Number,140591,404
Elmhurst/Corona,2013,Number,150519,404
Elmhurst/Corona,2014,Number,154740,404
Elmhurst/Corona,2015,Number,129606,404
Elmhurst/Corona,2016,Number,141167,404
Ridgewood/Glendale,2005,Number,169055,405
Ridgewood/Glendale,2006,Number,179768,405
Ridgewood/Glendale,2007,Number,187195,405
Ridgewood/Glendale,2008,Number,167834,405
Ridgewood/Glendale,2009,Number,187972,405
Ridgewood/Glendale,2010,Number,180932,405
Ridgewood/Glendale,2011,Number,173357,405
Ridgewood/Glendale,2012,Number,164301,405
Ridgewood/Glendale,2013,Number,163960,405
Ridgewood/Glendale,2014,Number,168488,405
Ridgewood/Glendale,2015,Number,186458,405
Ridgewood/Glendale,2016,Number,192600,405
Rego Park/Forest Hills,2005,Number,116490,406
Rego Park/Forest Hills,2006,Number,116418,406
Rego Park/Forest Hills,2007,Number,117931,406
Rego Park/Forest Hills,2008,Number,116831,406
Rego Park/Forest Hills,2009,Number,114945,406
Rego Park/Forest Hills,2010,Number,114462,406
Rego Park/Forest Hills,2011,Number,111930,406
Rego Park/Forest Hills,2012,Number,115976,406
Rego Park/Forest Hills,2013,Number,116101,406
Rego Park/Forest Hills,2014,Number,107893,406
Rego Park/Forest Hills,2015,Number,127938,406
Rego Park/Forest Hills,2016,Number,111730,406
Flushing,2005,Number,241947,407
Flushing,2006,Number,246542,407
Flushing,2007,Number,234382,407
Flushing,2008,Number,254571,407
Flushing,2009,Number,264586,407
Flushing,2010,Number,257327,407
Flushing,2011,Number,247116,407
Flushing,2012,Number,250135,407
Flushing,2013,Number,250391,407
Flushing,2014,Number,256742,407
Flushing,2015,Number,247398,407
Flushing,2016,Number,245864,407
Fresh Meadows/Briarwood,2005,Number,137827,408
Fresh Meadows/Briarwood,2006,Number,147374,408
Fresh Meadows/Briarwood,2007,Number,151246,408
Fresh Meadows/Briarwood,2008,Number,143686,408
Fresh Meadows/Briarwood,2009,Number,161047,408
Fresh Meadows/Briarwood,2010,Number,138004,408
Fresh Meadows/Briarwood,2011,Number,144431,408
Fresh Meadows/Briarwood,2012,Number,157855,408
Fresh Meadows/Briarwood,2013,Number,155659,408
Fresh Meadows/Briarwood,2014,Number,159330,408
Fresh Meadows/Briarwood,2015,Number,161612,408
Fresh Meadows/Briarwood,2016,Number,166115,408
Woodhaven,2005,Number,132751,409
Woodhaven,2006,Number,138679,409
Woodhaven,2007,Number,146114,409
Woodhaven,2008,Number,155865,409
Woodhaven,2009,Number,146340,409
Woodhaven,2010,Number,135589,409
Woodhaven,2011,Number,155315,409
Woodhaven,2012,Number,148177,409
Woodhaven,2013,Number,158754,409
Woodhaven,2014,Number,151202,409
Woodhaven,2015,Number,158478,409
Woodhaven,2016,Number,164094,409
Howard Beach,2005,Number,124086,410
Howard Beach,2006,Number,124623,410
Howard Beach,2007,Number,138052,410
Howard Beach,2008,Number,140123,410
Howard Beach,2009,Number,125305,410
Howard Beach,2010,Number,135257,410
Howard Beach,2011,Number,132853,410
Howard Beach,2012,Number,133178,410
Howard Beach,2013,Number,121383,410
Howard Beach,2014,Number,134827,410
Howard Beach,2015,Number,135849,410
Howard Beach,2016,Number,135422,410
Bayside,2005,Number,111573,411
Bayside,2006,Number,117784,411
Bayside,2007,Number,123412,411
Bayside,2008,Number,124989,411
Bayside,2009,Number,123621,411
Bayside,2010,Number,120428,411
Bayside,2011,Number,118669,411
Bayside,2012,Number,123146,411
Bayside,2013,Number,118250,411
Bayside,2014,Number,120996,411
Bayside,2015,Number,113563,411
Bayside,2016,Number,117381,411
Jamaica/St. Albans,2005,Number,224774,412
Jamaica/St. Albans,2006,Number,216115,412
Jamaica/St. Albans,2007,Number,218120,412
Jamaica/St. Albans,2008,Number,222807,412
Jamaica/St. Albans,2009,Number,220918,412
Jamaica/St. Albans,2010,Number,222074,412
Jamaica/St. Albans,2011,Number,231813,412
Jamaica/St. Albans,2012,Number,228128,412
Jamaica/St. Albans,2013,Number,246150,412
Jamaica/St. Albans,2014,Number,251002,412
Jamaica/St. Albans,2015,Number,246946,412
Jamaica/St. Albans,2016,Number,243300,412
Queens Village,2005,Number,188995,413
Queens Village,2006,Number,213704,413
Queens Village,2007,Number,202070,413
Queens Village,2008,Number,203425,413
Queens Village,2009,Number,201542,413
Queens Village,2010,Number,207164,413
Queens Village,2011,Number,200640,413
Queens Village,2012,Number,197751,413
Queens Village,2013,Number,197890,413
Queens Village,2014,Number,193102,413
Queens Village,2015,Number,203013,413
Queens Village,2016,Number,214163,413
The Rockaways,2005,Number,111688,414
The Rockaways,2006,Number,120268,414
The Rockaways,2007,Number,115052,414
The Rockaways,2008,Number,117954,414
The Rockaways,2009,Number,117525,414
The Rockaways,2010,Number,124031,414
The Rockaways,2011,Number,107945,414
The Rockaways,2012,Number,128358,414
The Rockaways,2013,Number,112269,414
The Rockaways,2014,Number,107944,414
The Rockaways,2015,Number,121595,414
The Rockaways,2016,Number,127381,414
St. George,2005,Number,168545,501
St. George,2006,Number,168395,501
St. George,2007,Number,182833,501
St. George,2008,Number,179225,501
St. George,2009,Number,179381,501
St. George,2010,Number,172052,501
St. George,2011,Number,173412,501
St. George,2012,Number,175699,501
St. George,2013,Number,177182,501
St. George,2014,Number,176338,501
St. George,2015,Number,170280,501
St. George,2016,Number,174943,501
South Beach,2005,Number,131695,502
South Beach,2006,Number,133736,502
South Beach,2007,Number,134188,502
South Beach,2008,Number,142188,502
South Beach,2009,Number,150278,502
